username,name,lastname,role,password,Fcoins
sprieto@gmail.com,Santiago,Prieto,Artista,123,0
a@a,David,Ramos,Artista,123,0
santiago@gmail.com,Santiago,Prieto,Artista,123,0
sprietogo@unbosque.edu.co,Santiago,Prieto,Artista,123,0
sprietogo@1,Santiago,Prieto,Artista,123,0
sprietogo56@unbosque.edu.co,Santiago,Prieto,Comprador,123,0
a@a,AaA,aAa,Comprador,123,0
sprieto@gmail.com,Santiago,Prieto,Comprador,123,0
sprietogo@unbosque.edu.co,Santiago,Prieto,Comprador,123,0
sprietogo@1,Santiago,Prieto,Comprador,123,0
